,contract_id,firm_contract_type,short_name,long_name,holiday_calendar_id,delivery_code,trading_code,exchange_id,type,trading_months,spot_trading_months,notional_maturity_start,notional_maturity_end,notional_coupon,contract_size,currency,quote_type,price_dec_places,price_tick_size,units_in_quote,tick_value,back_office_code,last_trading_date_rule,expiry_date_rule,root_ric_symbol,min_fluctuation,notional_maturity_units,max_contracts,default_executing_broker,default_clearing_broker,underlying_instr,underlying_instr_string,future_code,domicile,underlying_ric,contract_type,mds_date,active,version_number,version_user_id,version_date,default_executing_ny,default_clearing_ny,default_executing_tk,default_clearing_tk,default_executing_hk,default_clearing_hk,min_ctd_bonds,max_ctd_bonds,duration,coupon_freq,price_for_tick,margined,settlement_type,expiry_time,contract_multiplier,cash_in_lieu,related_contfuture_code,fut_expiry_year,strike_divisor,root_ric_override
80,hvG0ZOlwgZ,853,hvG0ZOlwgZ,hvG0ZOlwgZ,hvG0ZOlwgZ,hvG0ZOlwgZ,hvG0ZOlwgZ,hvG0ZOlwgZ,hvG0ZOlwgZ,hvG0ZOlwgZ,853,hvG0ZOlwgZ,hvG0ZOlwgZ,hvG0ZOlwgZ,541.4674941247057,hvG0ZOlwgZ,hvG0ZOlwgZ,853,hvG0ZOlwgZ,hvG0ZOlwgZ,hvG0ZOlwgZ,hvG0ZOlwgZ,hvG0ZOlwgZ,hvG0ZOlwgZ,hvG0ZOlwgZ,541.4674941247057,853,853,hvG0ZOlwgZ,hvG0ZOlwgZ,853,hvG0ZOlwgZ,hvG0ZOlwgZ,hvG0ZOlwgZ,hvG0ZOlwgZ,hvG0ZOlwgZ,2018-12-08,hvG0ZOlwgZ,853,hvG0ZOlwgZ,2018-12-08,hvG0ZOlwgZ,hvG0ZOlwgZ,hvG0ZOlwgZ,hvG0ZOlwgZ,hvG0ZOlwgZ,hvG0ZOlwgZ,853,853,hvG0ZOlwgZ,853,hvG0ZOlwgZ,hvG0ZOlwgZ,hvG0ZOlwgZ,hvG0ZOlwgZ,hvG0ZOlwgZ,hvG0ZOlwgZ,hvG0ZOlwgZ,853,853,hvG0ZOlwgZ
81,I,6,I,I,I,I,I,I,I,I,6,I,I,I,460.60987341371253,I,I,6,I,I,I,I,I,I,I,460.60987341371253,6,6,I,I,6,I,I,I,I,I,2015-07-22,I,6,I,2015-07-22,I,I,I,I,I,I,6,6,I,6,I,I,I,I,I,I,I,6,6,I
82,Wvaj,958,Wvaj,Wvaj,Wvaj,Wvaj,Wvaj,Wvaj,Wvaj,Wvaj,958,Wvaj,Wvaj,Wvaj,93.68113134786881,Wvaj,Wvaj,958,Wvaj,Wvaj,Wvaj,Wvaj,Wvaj,Wvaj,Wvaj,93.68113134786881,958,958,Wvaj,Wvaj,958,Wvaj,Wvaj,Wvaj,Wvaj,Wvaj,2022-07-03,Wvaj,958,Wvaj,2022-07-03,Wvaj,Wvaj,Wvaj,Wvaj,Wvaj,Wvaj,958,958,Wvaj,958,Wvaj,Wvaj,Wvaj,Wvaj,Wvaj,Wvaj,Wvaj,958,958,Wvaj
83,h,458,h,h,h,h,h,h,h,h,458,h,h,h,478.9802534922033,h,h,458,h,h,h,h,h,h,h,478.9802534922033,458,458,h,h,458,h,h,h,h,h,2017-09-13,h,458,h,2017-09-13,h,h,h,h,h,h,458,458,h,458,h,h,h,h,h,h,h,458,458,h
84,nJNNDTlKM,387,nJNNDTlKM,nJNNDTlKM,nJNNDTlKM,nJNNDTlKM,nJNNDTlKM,nJNNDTlKM,nJNNDTlKM,nJNNDTlKM,387,nJNNDTlKM,nJNNDTlKM,nJNNDTlKM,855.9530219877958,nJNNDTlKM,nJNNDTlKM,387,nJNNDTlKM,nJNNDTlKM,nJNNDTlKM,nJNNDTlKM,nJNNDTlKM,nJNNDTlKM,nJNNDTlKM,855.9530219877958,387,387,nJNNDTlKM,nJNNDTlKM,387,nJNNDTlKM,nJNNDTlKM,nJNNDTlKM,nJNNDTlKM,nJNNDTlKM,2021-02-04,nJNNDTlKM,387,nJNNDTlKM,2021-02-04,nJNNDTlKM,nJNNDTlKM,nJNNDTlKM,nJNNDTlKM,nJNNDTlKM,nJNNDTlKM,387,387,nJNNDTlKM,387,nJNNDTlKM,nJNNDTlKM,nJNNDTlKM,nJNNDTlKM,nJNNDTlKM,nJNNDTlKM,nJNNDTlKM,387,387,nJNNDTlKM
85,cfCIrAinPA,697,cfCIrAinPA,cfCIrAinPA,cfCIrAinPA,cfCIrAinPA,cfCIrAinPA,cfCIrAinPA,cfCIrAinPA,cfCIrAinPA,697,cfCIrAinPA,cfCIrAinPA,cfCIrAinPA,11.580250800261371,cfCIrAinPA,cfCIrAinPA,697,cfCIrAinPA,cfCIrAinPA,cfCIrAinPA,cfCIrAinPA,cfCIrAinPA,cfCIrAinPA,cfCIrAinPA,11.580250800261371,697,697,cfCIrAinPA,cfCIrAinPA,697,cfCIrAinPA,cfCIrAinPA,cfCIrAinPA,cfCIrAinPA,cfCIrAinPA,2017-12-06,cfCIrAinPA,697,cfCIrAinPA,2017-12-06,cfCIrAinPA,cfCIrAinPA,cfCIrAinPA,cfCIrAinPA,cfCIrAinPA,cfCIrAinPA,697,697,cfCIrAinPA,697,cfCIrAinPA,cfCIrAinPA,cfCIrAinPA,cfCIrAinPA,cfCIrAinPA,cfCIrAinPA,cfCIrAinPA,697,697,cfCIrAinPA
86,5Ec0U,979,5Ec0U,5Ec0U,5Ec0U,5Ec0U,5Ec0U,5Ec0U,5Ec0U,5Ec0U,979,5Ec0U,5Ec0U,5Ec0U,672.0513176414169,5Ec0U,5Ec0U,979,5Ec0U,5Ec0U,5Ec0U,5Ec0U,5Ec0U,5Ec0U,5Ec0U,672.0513176414169,979,979,5Ec0U,5Ec0U,979,5Ec0U,5Ec0U,5Ec0U,5Ec0U,5Ec0U,2017-06-27,5Ec0U,979,5Ec0U,2017-06-27,5Ec0U,5Ec0U,5Ec0U,5Ec0U,5Ec0U,5Ec0U,979,979,5Ec0U,979,5Ec0U,5Ec0U,5Ec0U,5Ec0U,5Ec0U,5Ec0U,5Ec0U,979,979,5Ec0U
87,HH4e15YQ,84,HH4e15YQ,HH4e15YQ,HH4e15YQ,HH4e15YQ,HH4e15YQ,HH4e15YQ,HH4e15YQ,HH4e15YQ,84,HH4e15YQ,HH4e15YQ,HH4e15YQ,853.4351055832916,HH4e15YQ,HH4e15YQ,84,HH4e15YQ,HH4e15YQ,HH4e15YQ,HH4e15YQ,HH4e15YQ,HH4e15YQ,HH4e15YQ,853.4351055832916,84,84,HH4e15YQ,HH4e15YQ,84,HH4e15YQ,HH4e15YQ,HH4e15YQ,HH4e15YQ,HH4e15YQ,2017-03-22,HH4e15YQ,84,HH4e15YQ,2017-03-22,HH4e15YQ,HH4e15YQ,HH4e15YQ,HH4e15YQ,HH4e15YQ,HH4e15YQ,84,84,HH4e15YQ,84,HH4e15YQ,HH4e15YQ,HH4e15YQ,HH4e15YQ,HH4e15YQ,HH4e15YQ,HH4e15YQ,84,84,HH4e15YQ
88,EdvzEknPK,574,EdvzEknPK,EdvzEknPK,EdvzEknPK,EdvzEknPK,EdvzEknPK,EdvzEknPK,EdvzEknPK,EdvzEknPK,574,EdvzEknPK,EdvzEknPK,EdvzEknPK,722.0503092536777,EdvzEknPK,EdvzEknPK,574,EdvzEknPK,EdvzEknPK,EdvzEknPK,EdvzEknPK,EdvzEknPK,EdvzEknPK,EdvzEknPK,722.0503092536777,574,574,EdvzEknPK,EdvzEknPK,574,EdvzEknPK,EdvzEknPK,EdvzEknPK,EdvzEknPK,EdvzEknPK,2020-01-02,EdvzEknPK,574,EdvzEknPK,2020-01-02,EdvzEknPK,EdvzEknPK,EdvzEknPK,EdvzEknPK,EdvzEknPK,EdvzEknPK,574,574,EdvzEknPK,574,EdvzEknPK,EdvzEknPK,EdvzEknPK,EdvzEknPK,EdvzEknPK,EdvzEknPK,EdvzEknPK,574,574,EdvzEknPK
89,722ECm,713,722ECm,722ECm,722ECm,722ECm,722ECm,722ECm,722ECm,722ECm,713,722ECm,722ECm,722ECm,904.0071045545964,722ECm,722ECm,713,722ECm,722ECm,722ECm,722ECm,722ECm,722ECm,722ECm,904.0071045545964,713,713,722ECm,722ECm,713,722ECm,722ECm,722ECm,722ECm,722ECm,2018-11-17,722ECm,713,722ECm,2018-11-17,722ECm,722ECm,722ECm,722ECm,722ECm,722ECm,713,713,722ECm,713,722ECm,722ECm,722ECm,722ECm,722ECm,722ECm,722ECm,713,713,722ECm
90,G6qbODForU,265,G6qbODForU,G6qbODForU,G6qbODForU,G6qbODForU,G6qbODForU,G6qbODForU,G6qbODForU,G6qbODForU,265,G6qbODForU,G6qbODForU,G6qbODForU,731.4587752821011,G6qbODForU,G6qbODForU,265,G6qbODForU,G6qbODForU,G6qbODForU,G6qbODForU,G6qbODForU,G6qbODForU,G6qbODForU,731.4587752821011,265,265,G6qbODForU,G6qbODForU,265,G6qbODForU,G6qbODForU,G6qbODForU,G6qbODForU,G6qbODForU,2023-05-30,G6qbODForU,265,G6qbODForU,2023-05-30,G6qbODForU,G6qbODForU,G6qbODForU,G6qbODForU,G6qbODForU,G6qbODForU,265,265,G6qbODForU,265,G6qbODForU,G6qbODForU,G6qbODForU,G6qbODForU,G6qbODForU,G6qbODForU,G6qbODForU,265,265,G6qbODForU
91,bP7xYSq,822,bP7xYSq,bP7xYSq,bP7xYSq,bP7xYSq,bP7xYSq,bP7xYSq,bP7xYSq,bP7xYSq,822,bP7xYSq,bP7xYSq,bP7xYSq,694.6824490092025,bP7xYSq,bP7xYSq,822,bP7xYSq,bP7xYSq,bP7xYSq,bP7xYSq,bP7xYSq,bP7xYSq,bP7xYSq,694.6824490092025,822,822,bP7xYSq,bP7xYSq,822,bP7xYSq,bP7xYSq,bP7xYSq,bP7xYSq,bP7xYSq,2021-05-16,bP7xYSq,822,bP7xYSq,2021-05-16,bP7xYSq,bP7xYSq,bP7xYSq,bP7xYSq,bP7xYSq,bP7xYSq,822,822,bP7xYSq,822,bP7xYSq,bP7xYSq,bP7xYSq,bP7xYSq,bP7xYSq,bP7xYSq,bP7xYSq,822,822,bP7xYSq
92,Hq,86,Hq,Hq,Hq,Hq,Hq,Hq,Hq,Hq,86,Hq,Hq,Hq,508.26648471095916,Hq,Hq,86,Hq,Hq,Hq,Hq,Hq,Hq,Hq,508.26648471095916,86,86,Hq,Hq,86,Hq,Hq,Hq,Hq,Hq,2021-01-14,Hq,86,Hq,2021-01-14,Hq,Hq,Hq,Hq,Hq,Hq,86,86,Hq,86,Hq,Hq,Hq,Hq,Hq,Hq,Hq,86,86,Hq
93,vhGrN17,973,vhGrN17,vhGrN17,vhGrN17,vhGrN17,vhGrN17,vhGrN17,vhGrN17,vhGrN17,973,vhGrN17,vhGrN17,vhGrN17,757.2127437830613,vhGrN17,vhGrN17,973,vhGrN17,vhGrN17,vhGrN17,vhGrN17,vhGrN17,vhGrN17,vhGrN17,757.2127437830613,973,973,vhGrN17,vhGrN17,973,vhGrN17,vhGrN17,vhGrN17,vhGrN17,vhGrN17,2019-05-18,vhGrN17,973,vhGrN17,2019-05-18,vhGrN17,vhGrN17,vhGrN17,vhGrN17,vhGrN17,vhGrN17,973,973,vhGrN17,973,vhGrN17,vhGrN17,vhGrN17,vhGrN17,vhGrN17,vhGrN17,vhGrN17,973,973,vhGrN17
94,Y,64,Y,Y,Y,Y,Y,Y,Y,Y,64,Y,Y,Y,353.91858069775583,Y,Y,64,Y,Y,Y,Y,Y,Y,Y,353.91858069775583,64,64,Y,Y,64,Y,Y,Y,Y,Y,2021-10-15,Y,64,Y,2021-10-15,Y,Y,Y,Y,Y,Y,64,64,Y,64,Y,Y,Y,Y,Y,Y,Y,64,64,Y
95,L2WcoZ,24,L2WcoZ,L2WcoZ,L2WcoZ,L2WcoZ,L2WcoZ,L2WcoZ,L2WcoZ,L2WcoZ,24,L2WcoZ,L2WcoZ,L2WcoZ,670.2308254369773,L2WcoZ,L2WcoZ,24,L2WcoZ,L2WcoZ,L2WcoZ,L2WcoZ,L2WcoZ,L2WcoZ,L2WcoZ,670.2308254369773,24,24,L2WcoZ,L2WcoZ,24,L2WcoZ,L2WcoZ,L2WcoZ,L2WcoZ,L2WcoZ,2020-11-23,L2WcoZ,24,L2WcoZ,2020-11-23,L2WcoZ,L2WcoZ,L2WcoZ,L2WcoZ,L2WcoZ,L2WcoZ,24,24,L2WcoZ,24,L2WcoZ,L2WcoZ,L2WcoZ,L2WcoZ,L2WcoZ,L2WcoZ,L2WcoZ,24,24,L2WcoZ
96,Rhn2SztAla,281,Rhn2SztAla,Rhn2SztAla,Rhn2SztAla,Rhn2SztAla,Rhn2SztAla,Rhn2SztAla,Rhn2SztAla,Rhn2SztAla,281,Rhn2SztAla,Rhn2SztAla,Rhn2SztAla,689.7438780623511,Rhn2SztAla,Rhn2SztAla,281,Rhn2SztAla,Rhn2SztAla,Rhn2SztAla,Rhn2SztAla,Rhn2SztAla,Rhn2SztAla,Rhn2SztAla,689.7438780623511,281,281,Rhn2SztAla,Rhn2SztAla,281,Rhn2SztAla,Rhn2SztAla,Rhn2SztAla,Rhn2SztAla,Rhn2SztAla,2022-11-16,Rhn2SztAla,281,Rhn2SztAla,2022-11-16,Rhn2SztAla,Rhn2SztAla,Rhn2SztAla,Rhn2SztAla,Rhn2SztAla,Rhn2SztAla,281,281,Rhn2SztAla,281,Rhn2SztAla,Rhn2SztAla,Rhn2SztAla,Rhn2SztAla,Rhn2SztAla,Rhn2SztAla,Rhn2SztAla,281,281,Rhn2SztAla
97,nfy5Q,450,nfy5Q,nfy5Q,nfy5Q,nfy5Q,nfy5Q,nfy5Q,nfy5Q,nfy5Q,450,nfy5Q,nfy5Q,nfy5Q,77.13289956014002,nfy5Q,nfy5Q,450,nfy5Q,nfy5Q,nfy5Q,nfy5Q,nfy5Q,nfy5Q,nfy5Q,77.13289956014002,450,450,nfy5Q,nfy5Q,450,nfy5Q,nfy5Q,nfy5Q,nfy5Q,nfy5Q,2017-03-31,nfy5Q,450,nfy5Q,2017-03-31,nfy5Q,nfy5Q,nfy5Q,nfy5Q,nfy5Q,nfy5Q,450,450,nfy5Q,450,nfy5Q,nfy5Q,nfy5Q,nfy5Q,nfy5Q,nfy5Q,nfy5Q,450,450,nfy5Q
98,SLSvHaGa,870,SLSvHaGa,SLSvHaGa,SLSvHaGa,SLSvHaGa,SLSvHaGa,SLSvHaGa,SLSvHaGa,SLSvHaGa,870,SLSvHaGa,SLSvHaGa,SLSvHaGa,707.3314780638303,SLSvHaGa,SLSvHaGa,870,SLSvHaGa,SLSvHaGa,SLSvHaGa,SLSvHaGa,SLSvHaGa,SLSvHaGa,SLSvHaGa,707.3314780638303,870,870,SLSvHaGa,SLSvHaGa,870,SLSvHaGa,SLSvHaGa,SLSvHaGa,SLSvHaGa,SLSvHaGa,2018-01-24,SLSvHaGa,870,SLSvHaGa,2018-01-24,SLSvHaGa,SLSvHaGa,SLSvHaGa,SLSvHaGa,SLSvHaGa,SLSvHaGa,870,870,SLSvHaGa,870,SLSvHaGa,SLSvHaGa,SLSvHaGa,SLSvHaGa,SLSvHaGa,SLSvHaGa,SLSvHaGa,870,870,SLSvHaGa
99,f9tk80,892,f9tk80,f9tk80,f9tk80,f9tk80,f9tk80,f9tk80,f9tk80,f9tk80,892,f9tk80,f9tk80,f9tk80,846.7176395477992,f9tk80,f9tk80,892,f9tk80,f9tk80,f9tk80,f9tk80,f9tk80,f9tk80,f9tk80,846.7176395477992,892,892,f9tk80,f9tk80,892,f9tk80,f9tk80,f9tk80,f9tk80,f9tk80,2015-10-14,f9tk80,892,f9tk80,2015-10-14,f9tk80,f9tk80,f9tk80,f9tk80,f9tk80,f9tk80,892,892,f9tk80,892,f9tk80,f9tk80,f9tk80,f9tk80,f9tk80,f9tk80,f9tk80,892,892,f9tk80
